Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,40.0,53.0,29.0,46.0
ZVRA,24.0,29.0,18.0,10.0
ZVIA,4.0,6.0,2.0,2.0
ZURA,11.0,16.0,2.0,3.0
ZUMZ,18.0,18.0,18.0,22.0
ZTS,195.0,244.0,155.0,146.0
ZTO,22.0,24.0,21.0,19.0
ZOOZ,5.0,5.0,5.0,1.0
ZNTL,5.0,10.0,2.0,1.0
ZLAB,56.0,75.0,36.0,26.0
ZK,34.0,38.0,31.0,30.0
ZION,61.0,71.0,52.0,53.0
ZIM,14.0,20.0,10.0,13.0
ZGN,10.0,12.0,7.0,10.0
ZG,86.0,105.0,66.0,74.0
ZEUS,38.0,38.0,38.0,29.0
ZETA,28.0,45.0,18.0,18.0
ZEPP,60.0,60.0,60.0,41.0
ZD,38.0,45.0,33.0,37.0
ZBRA,369.0,425.0,300.0,308.0
ZBIO,38.0,45.0,30.0,23.0
ZBH,111.0,135.0,95.0,103.0
Z,90.0,105.0,75.0,77.0
YUMC,60.0,60.0,60.0,44.0
YUM,163.0,200.0,140.0,143.0
YPF,43.0,55.0,33.0,26.0
YOU,34.0,45.0,25.0,31.0
YMM,15.0,18.0,10.0,13.0
YEXT,9.0,10.0,8.0,8.0
YELP,35.0,45.0,30.0,33.0
XYL,154.0,175.0,130.0,148.0
XRX,6.0,8.0,4.0,3.0
XPRO,12.0,15.0,11.0,13.0
XPOF,12.0,17.0,8.0,6.0
XPO,143.0,167.0,83.0,125.0
XPEV,23.0,31.0,16.0,21.0
XOMA,69.0,104.0,35.0,35.0
XOM,127.0,156.0,105.0,115.0
XNCR,24.0,40.0,6.0,13.0
XMTR,41.0,50.0,30.0,49.0
XIFR,13.0,20.0,11.0,10.0
XGN,12.0,15.0,10.0,11.0
XERS,7.0,10.0,4.0,9.0
XENE,53.0,67.0,43.0,40.0
XEL,86.0,96.0,78.0,80.0
WYNN,129.0,150.0,100.0,125.0
WYFI,34.0,51.0,25.0,34.0
WWR,2.0,2.0,2.0,1.0
WWD,268.0,300.0,193.0,265.0
WVE,21.0,36.0,10.0,7.0
WULF,13.0,20.0,4.0,13.0
WU,8.0,10.0,7.0,8.0
WTW,369.0,400.0,305.0,328.0
WTTR,15.0,16.0,14.0,11.0
WTS,253.0,300.0,217.0,278.0
WTRG,45.0,47.0,41.0,41.0
WTFC,152.0,175.0,115.0,129.0
WTBA,20.0,20.0,20.0,20.0
WT,14.0,16.0,10.0,12.0
WST,343.0,400.0,275.0,298.0
WSR,15.0,16.0,14.0,12.0
WSO,447.0,540.0,400.0,362.0
WSM,198.0,230.0,166.0,189.0
WSFS,66.0,70.0,64.0,53.0
WSC,30.0,38.0,22.0,22.0
WSBC,39.0,45.0,36.0,31.0
WS,36.0,36.0,36.0,31.0
WRN,4.0,4.0,4.0,2.0
WRD,13.0,15.0,12.0,10.0
WRBY,25.0,31.0,22.0,21.0
WRB,74.0,87.0,63.0,75.0
WPC,67.0,72.0,66.0,66.0
WOW,5.0,6.0,5.0,5.0
WOR,62.0,73.0,50.0,58.0
WOOF,3.0,4.0,2.0,3.0
WOLF,11.0,30.0,3.0,29.0
WNEB,11.0,11.0,11.0,11.0
WNC,9.0,9.0,9.0,9.0
WMS,152.0,167.0,133.0,143.0
WMG,35.0,45.0,30.0,32.0
WMB,66.0,83.0,56.0,57.0
WM,253.0,277.0,229.0,214.0
WLDN,111.0,120.0,103.0,102.0
WKC,28.0,33.0,26.0,26.0
WK,99.0,110.0,92.0,89.0
WIX,215.0,255.0,166.0,140.0
WING,362.0,440.0,270.0,258.0
WHR,89.0,145.0,63.0,73.0
WHF,9.0,12.0,6.0,7.0
WHD,51.0,53.0,50.0,38.0
WH,104.0,116.0,91.0,74.0
WGS,112.0,155.0,80.0,128.0
WGO,41.0,75.0,30.0,40.0
WFRD,91.0,125.0,70.0,70.0
WFG,87.0,100.0,70.0,65.0
WFC,89.0,100.0,73.0,86.0
WEX,173.0,210.0,135.0,159.0
