Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,37.0,40.0,34.0,28.0
ZVRA,22.0,25.0,18.0,6.0
ZURA,14.0,26.0,3.0,1.0
ZUMZ,22.0,25.0,19.0,12.0
ZTS,215.0,244.0,180.0,144.0
ZTO,22.0,26.0,20.0,16.0
ZS,234.0,260.0,180.0,177.0
ZNTL,8.0,20.0,2.0,1.0
ZM,89.0,115.0,75.0,66.0
ZLAB,47.0,55.0,36.0,27.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,19.0
ZIMV,23.0,23.0,23.0,9.0
ZIM,13.0,18.0,9.0,11.0
ZI,11.0,18.0,7.0,7.0
ZH,4.0,4.0,4.0,3.0
ZGN,8.0,10.0,7.0,6.0
ZG,82.0,100.0,47.0,59.0
ZEUS,43.0,43.0,43.0,28.0
ZETA,36.0,45.0,18.0,11.0
ZD,65.0,95.0,52.0,31.0
ZBRA,359.0,430.0,232.0,213.0
ZBIO,40.0,45.0,35.0,6.0
ZBH,124.0,150.0,107.0,102.0
Z,81.0,100.0,61.0,60.0
YY,35.0,35.0,35.0,38.0
YUMC,48.0,60.0,37.0,43.0
YUM,152.0,174.0,135.0,141.0
YSG,3.0,3.0,3.0,3.0
YPF,42.0,59.0,25.0,27.0
YOU,34.0,45.0,26.0,23.0
YMM,16.0,18.0,13.0,10.0
YMAB,18.0,26.0,7.0,4.0
YEXT,9.0,10.0,7.0,5.0
YETI,44.0,55.0,35.0,27.0
YELP,37.0,48.0,30.0,32.0
XYZ,93.0,115.0,67.0,49.0
XYL,149.0,165.0,125.0,102.0
XRAY,23.0,32.0,18.0,12.0
XPRO,20.0,29.0,14.0,6.0
XPOF,15.0,20.0,9.0,7.0
XPEV,22.0,31.0,12.0,16.0
XPEL,49.0,58.0,40.0,24.0
XOMA,72.0,104.0,40.0,18.0
XOM,128.0,144.0,105.0,100.0
XNCR,34.0,40.0,28.0,7.0
XMTR,36.0,48.0,20.0,19.0
XIFR,18.0,30.0,7.0,7.0
XHR,17.0,20.0,15.0,9.0
XERS,6.0,8.0,4.0,4.0
XENE,57.0,67.0,49.0,28.0
XEL,73.0,80.0,59.0,67.0
X,41.0,46.0,35.0,43.0
WYNN,119.0,138.0,103.0,66.0
WY,34.0,38.0,31.0,24.0
WWW,21.0,29.0,16.0,9.0
WWD,193.0,232.0,160.0,157.0
WVE,22.0,36.0,15.0,5.0
WULF,8.0,11.0,4.0,2.0
WU,12.0,15.0,9.0,9.0
WTW,346.0,400.0,272.0,302.0
WTTR,16.0,18.0,14.0,7.0
WTS,220.0,240.0,199.0,179.0
WTRG,43.0,46.0,41.0,37.0
WTI,7.0,7.0,7.0,1.0
WTFC,132.0,157.0,100.0,95.0
WTBA,23.0,23.0,23.0,18.0
WT,12.0,15.0,9.0,7.0
WST,332.0,400.0,250.0,190.0
WSR,16.0,16.0,16.0,12.0
WSO,486.0,560.0,425.0,461.0
WSM,178.0,224.0,131.0,139.0
WSFS,64.0,68.0,55.0,46.0
WSC,42.0,54.0,32.0,22.0
WS,34.0,34.0,34.0,22.0
WRN,4.0,4.0,4.0,0.0
WRBY,23.0,32.0,16.0,14.0
WRB,65.0,80.0,52.0,65.0
WPM,74.0,88.0,61.0,70.0
WPC,63.0,68.0,60.0,56.0
WOW,7.0,7.0,7.0,4.0
WOR,48.0,54.0,44.0,43.0
WOOF,4.0,5.0,2.0,2.0
WOLF,13.0,25.0,6.0,2.0
WNS,62.0,75.0,51.0,59.0
WNEB,8.0,8.0,8.0,7.0
WMT,103.0,120.0,70.0,81.0
WMS,153.0,190.0,130.0,96.0
WMG,35.0,44.0,23.0,28.0
WMB,56.0,70.0,34.0,54.0
WM,236.0,255.0,216.0,216.0
WLK,132.0,174.0,105.0,82.0
WLDN,51.0,56.0,47.0,36.0
WKC,29.0,32.0,27.0,23.0
WK,115.0,135.0,95.0,61.0
WING,348.0,461.0,270.0,221.0
WINA,445.0,445.0,445.0,320.0
WHR,106.0,138.0,74.0,77.0
WHF,10.0,12.0,9.0,8.0
WH,116.0,121.0,110.0,78.0
WGS,72.0,118.0,21.0,85.0
WGO,54.0,75.0,38.0,28.0
WFRD,106.0,142.0,82.0,39.0
WFG,106.0,115.0,100.0,70.0
WFC,75.0,92.0,57.0,61.0
WEX,187.0,255.0,155.0,113.0
WES,38.0,41.0,35.0,34.0
WERN,35.0,52.0,27.0,27.0
WEN,18.0,29.0,14.0,12.0
WELL,156.0,242.0,107.0,136.0
WEC,102.0,115.0,88.0,102.0
WEAV,17.0,20.0,14.0,9.0
WDFC,301.0,322.0,280.0,218.0
WDC,80.0,100.0,50.0,31.0
WDAY,300.0,360.0,190.0,210.0
WCN,204.0,219.0,189.0,183.0
WBX,1.0,2.0,0.0,0.0
WBTN,17.0,27.0,9.0,7.0
WBS,63.0,76.0,51.0,41.0
WBD,11.0,18.0,7.0,7.0
WBA,10.0,15.0,7.0,10.0
WB,9.0,12.0,7.0,7.0
WAY,40.0,52.0,27.0,35.0
WAT,401.0,460.0,325.0,306.0
WASH,34.0,34.0,34.0,26.0
WALD,5.0,7.0,4.0,2.0
WAL,97.0,116.0,74.0,60.0
WAFD,33.0,38.0,31.0,24.0
