Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZVRA,24.0,29.0,18.0,9.0
ZVIA,4.0,6.0,2.0,2.0
ZUMZ,18.0,18.0,18.0,19.0
ZTS,200.0,244.0,155.0,142.0
ZTO,22.0,24.0,21.0,19.0
ZS,307.0,385.0,207.0,296.0
ZNTL,5.0,10.0,2.0,1.0
ZM,91.0,115.0,69.0,83.0
ZLAB,56.0,75.0,36.0,32.0
ZKH,4.0,4.0,4.0,2.0
ZK,34.0,38.0,31.0,29.0
ZION,61.0,71.0,52.0,57.0
ZIMV,17.0,23.0,10.0,18.0
ZIM,14.0,20.0,9.0,13.0
ZH,4.0,4.0,4.0,5.0
ZGN,9.0,11.0,7.0,9.0
ZG,86.0,105.0,66.0,77.0
ZEUS,38.0,38.0,38.0,30.0
ZETA,30.0,45.0,18.0,21.0
ZEPP,60.0,60.0,60.0,47.0
ZENA,9.0,9.0,9.0,4.0
ZD,38.0,45.0,33.0,38.0
ZBRA,357.0,425.0,300.0,296.0
ZBIO,36.0,45.0,30.0,20.0
ZBH,113.0,135.0,95.0,98.0
Z,90.0,105.0,75.0,80.0
YUMC,60.0,60.0,60.0,43.0
YPF,46.0,59.0,33.0,25.0
YOU,34.0,45.0,25.0,36.0
YMM,15.0,18.0,10.0,13.0
YEXT,9.0,10.0,8.0,8.0
YELP,34.0,38.0,30.0,31.0
XYZ,80.0,100.0,50.0,75.0
XYL,152.0,175.0,130.0,143.0
XRAY,18.0,24.0,14.0,12.0
XPRO,12.0,15.0,11.0,12.0
XPOF,12.0,17.0,9.0,7.0
XPO,138.0,167.0,84.0,127.0
XPEV,23.0,31.0,16.0,23.0
XOMA,69.0,104.0,35.0,37.0
XOM,125.0,145.0,105.0,114.0
XNCR,22.0,34.0,6.0,11.0
XMTR,40.0,50.0,30.0,55.0
XIFR,16.0,30.0,11.0,10.0
XGN,12.0,15.0,10.0,10.0
XERS,7.0,10.0,4.0,8.0
XENE,53.0,67.0,43.0,39.0
XEL,80.0,84.0,76.0,80.0
WYNN,125.0,147.0,100.0,132.0
WYFI,30.0,34.0,25.0,26.0
WY,32.0,38.0,29.0,24.0
WWW,27.0,36.0,20.0,27.0
WWD,253.0,299.0,160.0,245.0
WW,0.0,0.0,0.0,27.0
WVE,20.0,36.0,10.0,7.0
WULF,11.0,15.0,4.0,11.0
WU,8.0,10.0,7.0,8.0
WTW,363.0,400.0,305.0,342.0
WTTR,15.0,16.0,14.0,10.0
WTS,253.0,300.0,217.0,276.0
WTRG,44.0,47.0,41.0,39.0
WTBA,20.0,20.0,20.0,20.0
WT,13.0,16.0,10.0,13.0
WST,318.0,400.0,245.0,260.0
WSR,15.0,16.0,14.0,12.0
WSO,480.0,540.0,425.0,400.0
WSM,199.0,230.0,166.0,192.0
WSFS,66.0,70.0,64.0,54.0
WSC,32.0,40.0,22.0,20.0
WSBC,38.0,45.0,34.0,32.0
WS,36.0,36.0,36.0,30.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,169.0
WRD,13.0,15.0,12.0,10.0
WRBY,24.0,30.0,18.0,27.0
WRB,72.0,82.0,60.0,75.0
WPM,106.0,135.0,75.0,110.0
WPC,67.0,72.0,64.0,68.0
WOW,5.0,6.0,5.0,5.0
WOR,62.0,73.0,50.0,54.0
WOOF,3.0,4.0,2.0,3.0
WOLF,9.0,20.0,3.0,21.0
WNS,67.0,76.0,53.0,76.0
WNEB,11.0,11.0,11.0,11.0
WNC,9.0,9.0,9.0,9.0
WMS,152.0,167.0,133.0,137.0
WMG,34.0,45.0,30.0,33.0
WMB,63.0,70.0,55.0,63.0
WM,255.0,277.0,229.0,219.0
WLK,92.0,100.0,78.0,76.0
WLDN,111.0,120.0,103.0,96.0
WKC,28.0,33.0,26.0,26.0
WK,100.0,110.0,92.0,85.0
WIX,215.0,255.0,166.0,180.0
