Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZWS,40.0,53.0,29.0,45.0
ZVRA,24.0,29.0,18.0,10.0
ZVIA,4.0,6.0,2.0,2.0
ZURA,11.0,16.0,2.0,3.0
ZUMZ,18.0,18.0,18.0,20.0
ZTS,196.0,244.0,155.0,144.0
ZTO,22.0,24.0,21.0,18.0
ZS,307.0,385.0,207.0,300.0
ZNTL,5.0,10.0,2.0,1.0
ZM,91.0,115.0,69.0,80.0
ZLAB,56.0,75.0,36.0,28.0
ZK,34.0,38.0,31.0,28.0
ZION,61.0,71.0,52.0,49.0
ZIM,14.0,20.0,10.0,13.0
ZH,4.0,4.0,4.0,4.0
ZGN,10.0,12.0,7.0,10.0
ZEUS,38.0,38.0,38.0,27.0
ZEPP,60.0,60.0,60.0,51.0
ZENA,9.0,9.0,9.0,5.0
ZD,38.0,45.0,33.0,35.0
ZBRA,369.0,425.0,300.0,293.0
ZBIO,38.0,45.0,30.0,23.0
ZBH,111.0,135.0,95.0,102.0
Z,90.0,105.0,75.0,72.0
YUMC,60.0,60.0,60.0,43.0
YUM,161.0,200.0,140.0,145.0
YTRA,3.0,3.0,3.0,1.0
YPF,43.0,55.0,33.0,26.0
YOU,34.0,45.0,25.0,31.0
YMM,15.0,18.0,10.0,12.0
YEXT,9.0,10.0,8.0,8.0
YETI,38.0,55.0,29.0,33.0
YELP,35.0,45.0,30.0,32.0
XYZ,80.0,100.0,50.0,75.0
XYL,154.0,175.0,130.0,146.0
XRAY,18.0,24.0,13.0,12.0
XPOF,12.0,17.0,8.0,6.0
XPEV,23.0,31.0,16.0,21.0
XOMA,69.0,104.0,35.0,34.0
XOM,127.0,156.0,105.0,112.0
XNCR,24.0,40.0,6.0,14.0
XMTR,41.0,50.0,30.0,47.0
XIFR,16.0,30.0,11.0,10.0
XHR,13.0,16.0,9.0,13.0
XGN,12.0,15.0,10.0,11.0
XERS,7.0,10.0,4.0,9.0
XENE,53.0,67.0,43.0,41.0
XEL,84.0,93.0,78.0,81.0
WYNN,129.0,150.0,100.0,117.0
WYFI,34.0,51.0,25.0,30.0
WY,32.0,38.0,27.0,23.0
WWW,28.0,36.0,20.0,25.0
WWR,2.0,2.0,2.0,2.0
WWD,268.0,300.0,193.0,247.0
WVE,20.0,36.0,10.0,7.0
WU,8.0,10.0,7.0,8.0
WTW,369.0,400.0,305.0,330.0
WTTR,15.0,16.0,14.0,10.0
WTS,253.0,300.0,217.0,276.0
WTFC,149.0,175.0,115.0,122.0
WTBA,20.0,20.0,20.0,19.0
WST,321.0,400.0,250.0,270.0
WSR,15.0,16.0,14.0,11.0
WSO,447.0,540.0,400.0,371.0
WSM,198.0,230.0,166.0,185.0
WSFS,66.0,70.0,64.0,51.0
WSC,32.0,38.0,22.0,21.0
WSBC,39.0,45.0,36.0,30.0
WS,36.0,36.0,36.0,30.0
WRN,4.0,4.0,4.0,2.0
WRLD,10.0,10.0,10.0,173.0
WRD,13.0,15.0,12.0,10.0
WRBY,24.0,31.0,18.0,21.0
WRB,73.0,87.0,60.0,73.0
WPM,116.0,160.0,75.0,104.0
WPC,67.0,72.0,64.0,68.0
WOW,5.0,6.0,5.0,5.0
WOR,62.0,73.0,50.0,56.0
WOOF,3.0,4.0,2.0,3.0
WOLF,9.0,20.0,3.0,31.0
WNEB,11.0,11.0,11.0,10.0
WNC,9.0,9.0,9.0,8.0
WMT,112.0,129.0,91.0,107.0
WMS,152.0,167.0,133.0,140.0
WMG,35.0,45.0,30.0,32.0
WMB,66.0,83.0,56.0,62.0
WM,253.0,277.0,229.0,215.0
WLK,91.0,100.0,78.0,75.0
WLAC,15.0,15.0,15.0,13.0
WKEY,10.0,11.0,10.0,8.0
WK,99.0,110.0,92.0,87.0
WIX,215.0,255.0,166.0,130.0
WING,366.0,440.0,270.0,257.0
WHF,9.0,12.0,6.0,6.0
WHD,51.0,53.0,50.0,36.0
WH,106.0,116.0,99.0,78.0
WGO,40.0,75.0,30.0,29.0
WFRD,95.0,142.0,70.0,62.0
WFG,96.0,115.0,70.0,67.0
WFC,89.0,100.0,73.0,83.0
WEX,173.0,210.0,135.0,150.0
WEST,10.0,10.0,10.0,4.0
WERN,27.0,40.0,22.0,27.0
WELL,185.0,246.0,147.0,175.0
WEC,114.0,131.0,98.0,116.0
WEAV,15.0,18.0,13.0,6.0
WDH,2.0,2.0,2.0,1.0
WDFC,290.0,300.0,280.0,194.0
WDC,105.0,160.0,53.0,126.0
WDAY,287.0,345.0,235.0,234.0
WD,94.0,97.0,90.0,81.0
WCN,210.0,230.0,190.0,172.0
WCC,237.0,258.0,200.0,214.0
WBTN,17.0,25.0,11.0,18.0
WBS,69.0,78.0,59.0,54.0
WBD,17.0,24.0,9.0,18.0
WB,14.0,14.0,14.0,11.0
WAY,45.0,52.0,34.0,36.0
WAT,376.0,465.0,315.0,335.0
WASH,28.0,31.0,27.0,25.0
WALD,4.0,7.0,3.0,1.0
WAL,103.0,118.0,90.0,72.0
WAFD,32.0,33.0,31.0,28.0
WABC,52.0,54.0,50.0,46.0
WAB,224.0,240.0,201.0,194.0
VZLA,7.0,9.0,6.0,6.0
VZ,47.0,56.0,40.0,40.0
VYX,15.0,18.0,11.0,11.0
VYGR,12.0,30.0,5.0,4.0
VVX,62.0,80.0,50.0,56.0
VVV,42.0,50.0,38.0,34.0
