Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYXI,10.0,15.0,5.0,2.0
ZWS,36.0,40.0,29.0,29.0
ZVRA,22.0,25.0,18.0,6.0
ZVIA,2.0,3.0,1.0,2.0
ZURA,14.0,26.0,3.0,1.0
ZUMZ,22.0,25.0,19.0,13.0
ZTS,215.0,244.0,180.0,149.0
ZTO,22.0,26.0,20.0,18.0
ZSPC,15.0,20.0,10.0,9.0
ZS,234.0,260.0,180.0,198.0
ZNTL,8.0,20.0,2.0,1.0
ZM,89.0,115.0,75.0,71.0
ZLAB,47.0,55.0,36.0,29.0
ZION,61.0,71.0,49.0,42.0
ZIMV,19.0,23.0,16.0,9.0
ZIM,13.0,18.0,9.0,13.0
ZI,11.0,18.0,7.0,7.0
ZH,4.0,4.0,4.0,3.0
ZGN,8.0,10.0,7.0,6.0
ZG,81.0,100.0,47.0,60.0
ZETA,36.0,45.0,18.0,12.0
ZD,65.0,95.0,52.0,31.0
ZBRA,359.0,430.0,232.0,225.0
ZBIO,40.0,45.0,35.0,7.0
ZBH,124.0,150.0,107.0,102.0
Z,81.0,100.0,61.0,61.0
YY,35.0,35.0,35.0,39.0
YUMC,48.0,60.0,37.0,44.0
YUM,152.0,174.0,135.0,144.0
YOU,34.0,45.0,26.0,27.0
YMM,16.0,18.0,13.0,9.0
YEXT,9.0,10.0,7.0,5.0
YETI,44.0,55.0,34.0,29.0
YELP,37.0,48.0,30.0,34.0
XYZ,91.0,115.0,52.0,53.0
XRAY,23.0,32.0,18.0,12.0
XPRO,18.0,29.0,12.0,7.0
XPOF,15.0,20.0,9.0,7.0
XPEV,22.0,31.0,12.0,20.0
XPEL,49.0,58.0,40.0,26.0
XOMA,72.0,104.0,40.0,19.0
XOM,126.0,144.0,105.0,103.0
XNCR,34.0,40.0,28.0,8.0
XMTR,36.0,48.0,20.0,21.0
XIFR,18.0,30.0,7.0,8.0
XHR,14.0,17.0,10.0,9.0
XERS,6.0,8.0,4.0,4.0
XENE,57.0,67.0,49.0,31.0
XEL,73.0,80.0,59.0,69.0
X,40.0,45.0,35.0,40.0
WY,34.0,38.0,31.0,25.0
WWD,193.0,232.0,160.0,167.0
WVE,22.0,36.0,15.0,5.0
WULF,7.0,11.0,4.0,2.0
WU,12.0,15.0,9.0,9.0
WTW,346.0,400.0,272.0,321.0
WTTR,16.0,18.0,14.0,8.0
WTRG,43.0,46.0,41.0,39.0
WTI,7.0,7.0,7.0,1.0
WTFC,132.0,157.0,100.0,98.0
WTBA,23.0,23.0,23.0,18.0
WT,12.0,15.0,9.0,8.0
WST,332.0,400.0,250.0,210.0
WSR,16.0,16.0,16.0,12.0
WSO,486.0,560.0,425.0,509.0
WSFS,64.0,68.0,55.0,45.0
WSC,42.0,54.0,32.0,24.0
WSBC,39.0,45.0,35.0,26.0
WS,34.0,34.0,34.0,23.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,120.0
WRBY,23.0,32.0,16.0,14.0
WRB,66.0,80.0,58.0,68.0
WPM,75.0,89.0,61.0,82.0
WPC,63.0,68.0,60.0,57.0
WOW,7.0,7.0,7.0,4.0
WOR,48.0,54.0,44.0,47.0
WOOF,4.0,5.0,2.0,3.0
WOLF,13.0,25.0,6.0,2.0
WNEB,8.0,8.0,8.0,7.0
WMT,103.0,120.0,81.0,92.0
WMS,153.0,190.0,130.0,105.0
WMG,35.0,44.0,23.0,29.0
WMB,56.0,70.0,34.0,56.0
WM,237.0,260.0,216.0,229.0
WLK,131.0,174.0,105.0,89.0
WLDN,51.0,56.0,47.0,38.0
WK,115.0,135.0,95.0,66.0
WING,348.0,461.0,270.0,237.0
WINA,445.0,445.0,445.0,333.0
WGS,72.0,118.0,21.0,96.0
WGO,54.0,75.0,38.0,30.0
WFG,106.0,115.0,100.0,75.0
WFC,75.0,92.0,57.0,62.0
WEX,187.0,255.0,155.0,126.0
WEST,10.0,13.0,9.0,5.0
WERN,35.0,52.0,27.0,28.0
WEN,18.0,29.0,14.0,12.0
WEC,104.0,115.0,93.0,106.0
WEAV,17.0,20.0,14.0,9.0
WDFC,301.0,322.0,280.0,222.0
WDC,77.0,100.0,40.0,34.0
WDAY,300.0,360.0,190.0,226.0
WD,107.0,110.0,105.0,73.0
WCN,204.0,219.0,189.0,194.0
WCC,219.0,245.0,205.0,148.0
WBX,1.0,2.0,0.0,0.0
WBTN,17.0,27.0,9.0,8.0
WBS,61.0,76.0,51.0,42.0
WBD,11.0,18.0,7.0,7.0
WBA,10.0,15.0,7.0,10.0
WB,9.0,12.0,7.0,7.0
WAY,40.0,52.0,27.0,37.0
WAT,397.0,460.0,325.0,325.0
WASH,34.0,34.0,34.0,26.0
WALD,5.0,7.0,4.0,2.0
WAFD,33.0,38.0,31.0,24.0
WABC,57.0,57.0,57.0,43.0
WAB,201.0,226.0,147.0,171.0
VZLA,4.0,4.0,3.0,2.0
VYX,15.0,17.0,11.0,8.0
VYGR,13.0,30.0,5.0,3.0
VXRT,3.0,4.0,2.0,0.0
VVX,65.0,80.0,54.0,49.0
VVV,43.0,49.0,38.0,34.0
VUZI,2.0,2.0,2.0,1.0
VTYX,10.0,14.0,6.0,0.0
VTS,30.0,33.0,28.0,20.0
VTR,72.0,78.0,65.0,66.0
VTOL,50.0,50.0,50.0,27.0
VTMX,27.0,34.0,21.0,22.0
VTLE,38.0,75.0,23.0,13.0
VTEX,8.0,11.0,6.0,4.0
VSTS,13.0,16.0,10.0,7.0
VSTM,13.0,20.0,8.0,4.0
VSTA,3.0,3.0,3.0,4.0
VST,159.0,231.0,82.0,111.0
VSH,20.0,22.0,19.0,11.0
VSEC,118.0,135.0,100.0,112.0
VSCO,31.0,45.0,19.0,17.0
VSAT,14.0,19.0,10.0,8.0
VRTX,512.0,586.0,420.0,484.0
VRT,125.0,155.0,75.0,69.0
VRSN,262.0,275.0,250.0,247.0
VRSK,297.0,321.0,279.0,291.0
VRRM,26.0,29.0,23.0,21.0
VRNT,30.0,36.0,23.0,15.0
VRNS,58.0,70.0,45.0,41.0
VRNA,69.0,93.0,36.0,57.0
VRN,12.0,15.0,10.0,5.0
VREX,22.0,23.0,22.0,7.0
VRE,18.0,23.0,17.0,15.0
VRDN,35.0,61.0,20.0,12.0
VPG,28.0,28.0,28.0,19.0
VOYA,80.0,91.0,66.0,56.0
VNT,44.0,48.0,40.0,29.0
VNOM,58.0,72.0,48.0,37.0
VNO,38.0,48.0,28.0,33.0
VNET,9.0,20.0,5.0,5.0
VNDA,16.0,20.0,13.0,4.0
VMI,402.0,425.0,380.0,284.0
VMEO,7.0,10.0,5.0,4.0
VMC,298.0,325.0,258.0,242.0
VLY,10.0,12.0,8.0,7.0
VLTO,113.0,125.0,100.0,89.0
VLO,152.0,177.0,131.0,110.0
VLN,4.0,4.0,4.0,2.0
VKTX,89.0,138.0,30.0,22.0
VIV,9.0,11.0,9.0,8.0
VITL,42.0,52.0,30.0,34.0
VIRT,32.0,48.0,21.0,37.0
VIRC,17.0,17.0,17.0,10.0
VIR,35.0,110.0,14.0,5.0
VIPS,15.0,20.0,12.0,12.0
VINP,13.0,14.0,13.0,9.0
VIK,46.0,58.0,29.0,39.0
VIGL,16.0,22.0,13.0,1.0
